@id	label
mtV	mtV
PMv	PMv
GENv	GENv
jrb	jrb
TTd2	TTd2
SCop	SCop
FF	FF
PAS	PAS
VISrl6a	VISrl6a
VISal4	VISal4
ENTl3	ENTl3
psf	psf
snp	snp
rst	rst
LM	LM
ME	ME
PCG	PCG
BSTv	BSTv
VISrl2/3	VISrl2/3
chpl	chpl
int	int
CA1	CA1
SMT	SMT
fxprg	fxprg
VISC6a	VISC6a
FRP2/3	FRP2/3
RHP	RHP
db	db
mfbse	mfbse
ILA6b	ILA6b
SF	SF
SUBd-sp	SUBd-sp
IPDM	IPDM
OT2	OT2
AD	AD
ANcr2pu	ANcr2pu
ORBl5	ORBl5
PL5	PL5
CA	CA
ts	ts
mfbst	mfbst
STN	STN
AId2/3	AId2/3
PAR2	PAR2
SSp-bfd1	SSp-bfd1
ENTl6b	ENTl6b
VNC	VNC
mcp	mcp
Prosv-sr	Prosv-sr
MOBipl	MOBipl
VISa1	VISa1
PAR1	PAR1
VMHa	VMHa
MO5	MO5
SPIV	SPIV
RSP	RSP
ACA2/3	ACA2/3
MOs1	MOs1
VIS	VIS
SSp-un6a	SSp-un6a
SSp-bfd4	SSp-bfd4
rstl	rstl
SSp-m4	SSp-m4
AId	AId
BLAp	BLAp
SSp-bfd6a	SSp-bfd6a
VISpm1	VISpm1
PPT	PPT
RSPagl2/3	RSPagl2/3
AM	AM
TTd4	TTd4
aot	aot
UVU	UVU
NLOT1-3	NLOT1-3
ORBl6b	ORBl6b
MOs	MOs
tn	tn
VIn	VIn
ENTmv4	ENTmv4
TRN	TRN
ENTm3	ENTm3
VISl1	VISl1
CUL4pu	CUL4pu
CS	CS
RAmb	RAmb
ec	ec
FLmo	FLmo
SSs4	SSs4
NTSm	NTSm
PIR2	PIR2
COAa	COAa
SSp-tr2/3	SSp-tr2/3
PVi	PVi
MOBgr	MOBgr
SSp-n5	SSp-n5
IMD	IMD
INV	INV
VIS2/3	VIS2/3
CUL4, 5	CUL4, 5
IAM	IAM
VISmmp	VISmmp
LGv	LGv
ENTm5/6	ENTm5/6
ProSd-m	ProSd-m
SSp-un1	SSp-un1
RSPd2/3	RSPd2/3
VISam4	VISam4
POST1	POST1
AIp5	AIp5
VISam	VISam
VIS1	VIS1
MEAad	MEAad
BSTdm	BSTdm
VISl2/3	VISl2/3
VISpor	VISpor
SCm	SCm
ppf	ppf
IGL	IGL
BMAa	BMAa
VISmma5	VISmma5
SSp-n2/3	SSp-n2/3
SSp-tr4	SSp-tr4
DGlb-sg	DGlb-sg
CNlam	CNlam
PIR1-3	PIR1-3
VISlla6a	VISlla6a
VISal	VISal
cic	cic
SPA	SPA
AId5	AId5
PCN	PCN
RM	RM
FOTUmo	FOTUmo
VISa6a	VISa6a
grey	grey
CBXmo	CBXmo
MPT	MPT
tspd	tspd
ACVI	ACVI
BSTtr	BSTtr
LPO	LPO
IPR	IPR
CUL4gr	CUL4gr
FC	FC
VISpor2/3	VISpor2/3
IPN	IPN
CTX	CTX
SS2/3	SS2/3
AUDv5	AUDv5
SEZ	SEZ
CA2sr	CA2sr
dlf	dlf
PTLp2/3	PTLp2/3
MRNm	MRNm
AOBgl	AOBgl
COApl1-3	COApl1-3
PVHmpd	PVHmpd
mfb	mfb
SSp-m1	SSp-m1
COApl2	COApl2
HIP	HIP
PAL	PAL
CENT2mo	CENT2mo
XIn	XIn
GU6b	GU6b
AUDv6a	AUDv6a
or	or
ORB1	ORB1
PTLp1	PTLp1
LRN	LRN
DMX	DMX
BSTif	BSTif
PR	PR
AMd	AMd
CLI	CLI
VI	VI
RSPd6b	RSPd6b
BSTov	BSTov
MBsen	MBsen
SUB	SUB
IA	IA
aolt	aolt
pvbt	pvbt
SUBd	SUBd
BSTal	BSTal
ICc	ICc
CNU	CNU
im	im
DCO	DCO
df	df
pcf	pcf
PVHpv	PVHpv
VISl4	VISl4
MEA	MEA
MO1	MO1
TEa	TEa
NODgr	NODgr
DG	DG
VISal2/3	VISal2/3
AUDp5	AUDp5
DTN	DTN
SCO	SCO
ENTm2	ENTm2
SSp-n4	SSp-n4
SNc	SNc
MY	MY
AUDv1	AUDv1
ml	ml
IC	IC
Pa4	Pa4
MEApv	MEApv
BA	BA
LA	LA
Xi	Xi
ENTmv5/6	ENTmv5/6
dscp	dscp
SIMgr	SIMgr
pc	pc
VISmma4	VISmma4
SUM	SUM
NI	NI
LGd-sh	LGd-sh
SSp-ul1	SSp-ul1
NLOT	NLOT
PTLp6a	PTLp6a
CUN	CUN
BLAa	BLAa
PVHpm	PVHpm
SSp-n6a	SSp-n6a
CA2so	CA2so
PALc	PALc
amc	amc
AUDpo5	AUDpo5
MG	MG
NODpu	NODpu
CUL4mo	CUL4mo
pfs	pfs
cte	cte
ACA	ACA
ENTl5	ENTl5
SUBv-sp	SUBv-sp
COApm	COApm
VPMpc	VPMpc
AUDv	AUDv
VISpor6b	VISpor6b
step	step
z	z
ll	ll
TR1	TR1
PRMgr	PRMgr
ORBvl6b	ORBvl6b
PRP	PRP
MDc	MDc
apd	apd
tp	tp
CUL4	CUL4
FLpu	FLpu
AUDp2/3	AUDp2/3
IPRL	IPRL
SSp-bfd5	SSp-bfd5
SSp-m2/3	SSp-m2/3
IVn	IVn
OLF	OLF
STR	STR
HEM	HEM
VISrl4	VISrl4
V3	V3
SPVI	SPVI
DGcr-po	DGcr-po
SPF	SPF
ORBm2	ORBm2
SPVOmdmv	SPVOmdmv
ProSd-sp	ProSd-sp
dl	dl
DECmo	DECmo
PALd	PALd
supd	supd
FOTUgr	FOTUgr
SNr	SNr
VISpm6a	VISpm6a
MDRN	MDRN
ACAv6b	ACAv6b
st	st
SOCl	SOCl
SUMl	SUMl
PIN	PIN
ENTl4/5	ENTl4/5
ProSv-sp	ProSv-sp
pvbh	pvbh
BS	BS
PRT	PRT
VS	VS
cbc	cbc
COApl	COApl
AIv1	AIv1
ANcr2gr	ANcr2gr
vrt	vrt
VISpm2/3	VISpm2/3
BSTrh	BSTrh
A13	A13
DG-sg	DG-sg
RSPagl5	RSPagl5
SAG	SAG
GPi	GPi
PAA3	PAA3
PVHpmm	PVHpmm
SSp-m5	SSp-m5
sttv	sttv
LT	LT
lab	lab
CUL5	CUL5
PVHd	PVHd
CTXpl	CTXpl
AUDd4	AUDd4
MO	MO
chfl	chfl
mfbs	mfbs
V4r	V4r
SLC	SLC
SSp-bfd6b	SSp-bfd6b
MB	MB
CA3so	CA3so
PIL	PIL
DP6a	DP6a
VPL	VPL
RR	RR
MGd	MGd
arb	arb
VISpor1	VISpor1
SSp-n	SSp-n
SIM	SIM
stf	stf
VIIn	VIIn
ORBm6a	ORBm6a
ZI	ZI
DMHv	DMHv
NLLd	NLLd
ntt	ntt
VISm6b	VISm6b
ACAd1	ACAd1
TR2	TR2
BMAp	BMAp
AVPV	AVPV
sAMY	sAMY
ar	ar
ab	ab
eps	eps
LZ	LZ
AUDd6a	AUDd6a
sup	sup
PG	PG
LINGmo	LINGmo
TM	TM
SOCm	SOCm
LGvl	LGvl
BSTam	BSTam
AUDpo2/3	AUDpo2/3
PeF	PeF
crt	crt
FRP6b	FRP6b
VERM	VERM
SS1	SS1
DEC	DEC
SUBd-m	SUBd-m
InCo	InCo
LAV	LAV
iVIIn	iVIIn
VISpm	VISpm
MOBopl	MOBopl
TEa2/3	TEa2/3
opt	opt
DP2	DP2
ECT2/3	ECT2/3
CM	CM
TR3	TR3
tct	tct
OT3	OT3
ttp	ttp
AIv6a	AIv6a
VISC4	VISC4
CEA	CEA
SSp-bfd	SSp-bfd
SPVO	SPVO
SSp-ul	SSp-ul
EP	EP
SI	SI
LINGgr	LINGgr
SSs6b	SSs6b
CA2	CA2
IPC	IPC
ENTm2a	ENTm2a
ND	ND
ENTm6	ENTm6
PAA1	PAA1
vsp	vsp
MSC	MSC
eg	eg
PL6a	PL6a
ORBm2/3	ORBm2/3
dtt	dtt
SSp-un2/3	SSp-un2/3
ORBvl1	ORBvl1
IV	IV
AUDpo	AUDpo
BLA	BLA
PAG	PAG
TEa6a	TEa6a
SPFm	SPFm
grf	grf
SUT	SUT
PAR3	PAR3
VISrll5	VISrll5
ORBl2/3	ORBl2/3
HB	HB
fpr	fpr
ECT6b	ECT6b
TR	TR
AI	AI
CA3sp	CA3sp
NB	NB
CU	CU
sec	sec
SSp-un4	SSp-un4
PBle	PBle
SCdg	SCdg
SSp	SSp
Eth	Eth
AOBmi	AOBmi
CEAm	CEAm
rust	rust
mfbsma	mfbsma
VISlla1	VISlla1
AVP	AVP
ANcr1pu	ANcr1pu
MOp	MOp
PERI6a	PERI6a
MOBmi	MOBmi
PALv	PALv
FRP5	FRP5
RSPd4	RSPd4
MOp6b	MOp6b
LDT	LDT
CNspg	CNspg
PVHmm	PVHmm
OT1	OT1
CBN	CBN
ProS	ProS
SSp-tr	SSp-tr
fxpo	fxpo
fa	fa
ENTl	ENTl
PBl	PBl
POST	POST
VISC	VISC
VISl5	VISl5
IPL	IPL
ENTmv3	ENTmv3
AONm	AONm
grv of CTX	grv of CTX
fiber tracts	fiber tracts
TTv1	TTv1
ORBl	ORBl
ProSd	ProSd
MPO	MPO
PRNc	PRNc
AIv	AIv
EPv	EPv
ACAd5	ACAd5
fx	fx
SSp-ul6b	SSp-ul6b
SCzo	SCzo
DGlb	DGlb
cc	cc
XII	XII
MOs5	MOs5
DR	DR
shp	shp
SCsg	SCsg
OP	OP
SSp-ll	SSp-ll
IXn	IXn
SPVOvl	SPVOvl
VISpl2/3	VISpl2/3
MED	MED
CENT2	CENT2
AAA	AAA
PRE3	PRE3
PVH	PVH
VISrl1	VISrl1
P-sat	P-sat
AMBd	AMBd
ORBvl5	ORBvl5
cpt	cpt
SLD	SLD
VPLpc	VPLpc
PERI	PERI
ptf	ptf
PBm	PBm
ECT1	ECT1
PD	PD
ACAv5	ACAv5
VISm4	VISm4
MDm	MDm
AMBv	AMBv
AIp2/3	AIp2/3
VTA	VTA
VTN	VTN
SCiw	SCiw
SS4	SS4
VMPO	VMPO
VAL	VAL
RE	RE
NTS	NTS
cbp	cbp
mtt	mtt
PRNv	PRNv
ANcr1gr	ANcr1gr
TTd1	TTd1
DGcr	DGcr
PAR	PAR
ORB5	ORB5
SBPV	SBPV
NTSl	NTSl
phpm	phpm
AOBgr	AOBgr
GRN	GRN
BSTju	BSTju
NTSco	NTSco
AONd	AONd
stp	stp
NLOT2	NLOT2
VISC6b	VISC6b
TTd	TTd
AIv5	AIv5
PVHmpv	PVHmpv
MEPO	MEPO
FOTUpu	FOTUpu
PBme	PBme
pce	pce
moV	moV
CBX	CBX
py	py
cst	cst
AONpv	AONpv
rstm	rstm
ORBvl2/3	ORBvl2/3
GENd	GENd
PVa	PVa
CA3	CA3
PL2/3	PL2/3
VISmma	VISmma
COApm1-2	COApm1-2
HATA	HATA
VISrll6b	VISrll6b
VMHvl	VMHvl
GU	GU
PVHm	PVHm
ACAd6a	ACAd6a
COAp	COAp
MDRNd	MDRNd
Su3	Su3
SCs	SCs
VMH	VMH
PPY	PPY
PALm	PALm
NODmo	NODmo
SSp-un5	SSp-un5
ENTm2b	ENTm2b
VISC2/3	VISC2/3
PVHdp	PVHdp
RCH	RCH
KF	KF
DG-sgz	DG-sgz
AHNa	AHNa
VISa2/3	VISa2/3
rrt	rrt
VISrl6b	VISrl6b
bct	bct
cct	cct
REth	REth
VISrl	VISrl
PVHap	PVHap
vlt	vlt
cing	cing
IIIn	IIIn
MARN	MARN
PRMpu	PRMpu
DGmb-mo	DGmb-mo
GU5	GU5
PBlc	PBlc
SSs	SSs
VISa4	VISa4
NTSce	NTSce
SSp-ul4	SSp-ul4
III	III
hht	hht
VIS4	VIS4
c	c
ASO	ASO
CL	CL
SSp-ul5	SSp-ul5
ORB6b	ORB6b
MEApd-a	MEApd-a
B	B
mct	mct
ORB	ORB
PA	PA
MEApd-c	MEApd-c
bic	bic
tb	tb
Xn	Xn
MO6a	MO6a
PBmm	PBmm
MRNmg	MRNmg
RL	RL
fr	fr
VISli	VISli
PTLp4	PTLp4
VISli6b	VISli6b
svp	svp
AUDv6b	AUDv6b
CA1sp	CA1sp
VISC5	VISC5
gVIIn	gVIIn
SGN	SGN
DGlb-po	DGlb-po
VISl6a	VISl6a
VISpl4	VISpl4
TMd	TMd
RSPd1	RSPd1
ENT	ENT
lot	lot
APr	APr
FS	FS
MDRNv	MDRNv
COApl1-2	COApl1-2
ILA2	ILA2
vtd	vtd
VISmma2/3	VISmma2/3
ENTm	ENTm
BSTa	BSTa
MOs6a	MOs6a
ccg	ccg
lotg	lotg
IVF	IVF
PRC	PRC
MDl	MDl
ANcr2	ANcr2
DGmb	DGmb
ENTl2/3	ENTl2/3
PVHpml	PVHpml
VISp6a	VISp6a
smd	smd
SSs6a	SSs6a
grv of CBX	grv of CBX
Acs5	Acs5
MA	MA
ORB6a	ORB6a
RH	RH
ENTm4	ENTm4
SCdw	SCdw
DP2/3	DP2/3
BSTpr	BSTpr
SS	SS
LINGpu	LINGpu
CA3slu	CA3slu
BMA	BMA
DP5	DP5
Isocortex	Isocortex
RSPv2/3	RSPv2/3
SSp-ll6a	SSp-ll6a
SIMmo	SIMmo
MV	MV
RC	RC
VISC1	VISC1
SNl	SNl
APN	APN
PERI2/3	PERI2/3
BSTfu	BSTfu
VISlla6b	VISlla6b
VISp4	VISp4
UVUpu	UVUpu
VISrl5	VISrl5
LGd-ip	LGd-ip
PYRpu	PYRpu
lfbst	lfbst
rct	rct
y	y
ACAv6a	ACAv6a
OV	OV
BSTp	BSTp
ECT	ECT
CENT2pu	CENT2pu
DGmb-po	DGmb-po
CA1so	CA1so
cett	cett
MS	MS
SSp-tr1	SSp-tr1
PPYs	PPYs
ECT5	ECT5
AHNp	AHNp
DT	DT
VISli4	VISli4
VIS6b	VIS6b
AIv6b	AIv6b
sst	sst
SUBv-m	SUBv-m
SUMm	SUMm
mtg	mtg
VISa5	VISa5
RSPd6a	RSPd6a
DECpu	DECpu
cbt	cbt
VISpl5	VISpl5
COAa1	COAa1
PP	PP
pyd	pyd
MBO	MBO
PSV	PSV
VISa	VISa
AUDv2/3	AUDv2/3
ccs	ccs
LSr	LSr
CENT2gr	CENT2gr
ACA1	ACA1
AUD	AUD
FOTU	FOTU
ipf	ipf
NLLv	NLLv
AN	AN
icp	icp
uf	uf
AIv2/3	AIv2/3
TTv3	TTv3
DGmb-sg	DGmb-sg
VISm	VISm
In	In
SPVOcdm	SPVOcdm
V4	V4
ANcr1mo	ANcr1mo
SSs5	SSs5
RPO	RPO
VISp1	VISp1
VISlla4	VISlla4
MEApd	MEApd
HPF	HPF
VISmmp6b	VISmmp6b
ACA5	ACA5
MOs2/3	MOs2/3
MPN	MPN
tsp	tsp
DGcr-mo	DGcr-mo
ENTm5	ENTm5
rf	rf
NTSge	NTSge
VISli2/3	VISli2/3
ccb	ccb
VISp5	VISp5
epsc	epsc
PRE1	PRE1
VM	VM
AON1	AON1
SPVOmdmd	SPVOmdmd
RSPagl1	RSPagl1
EW	EW
FRP6a	FRP6a
nf	nf
AUDpo1	AUDpo1
pm	pm
sttl	sttl
SSp-tr5	SSp-tr5
IPA	IPA
VISli5	VISli5
ee	ee
hbc	hbc
PVp	PVp
fxs	fxs
CENT3pu	CENT3pu
SSp-ul6a	SSp-ul6a
LRNp	LRNp
IntG	IntG
apf	apf
GU2/3	GU2/3
phpv	phpv
MEAav	MEAav
VISl	VISl
TMv	TMv
SCig	SCig
PB	PB
AHNc	AHNc
PBld	PBld
SUBv-sr	SUBv-sr
VISal1	VISal1
ECO	ECO
VISmma1	VISmma1
AUDd5	AUDd5
srp	srp
ENTl2a	ENTl2a
CA3sr	CA3sr
MO6b	MO6b
MRNp	MRNp
ORBm	ORBm
TTd3	TTd3
php	php
MOp5	MOp5
AQ	AQ
VISam2/3	VISam2/3
VIS6a	VIS6a
sif	sif
LGvm	LGvm
PFLpu	PFLpu
GPe	GPe
SSp-ll5	SSp-ll5
VISrll1	VISrll1
icf	icf
ENTmv1	ENTmv1
sop	sop
ICB	ICB
SSp-m6a	SSp-m6a
PT	PT
SSp-un	SSp-un
AV	AV
ACAv1	ACAv1
CN	CN
VIS5	VIS5
UVUgr	UVUgr
scrt	scrt
NPC	NPC
ORBm5	ORBm5
VPM	VPM
MY-sen	MY-sen
MT	MT
PGRNl	PGRNl
SSp1	SSp1
MMme	MMme
VISpm5	VISpm5
PL2	PL2
VISmmp6a	VISmmp6a
VISlla5	VISlla5
AUDp4	AUDp4
SSp6b	SSp6b
ATN	ATN
MRN	MRN
PVT	PVT
VeCB	VeCB
islm	islm
AId6b	AId6b
SSp-ul2/3	SSp-ul2/3
NOT	NOT
MOBgl	MOBgl
MMl	MMl
per	per
VP	VP
CENT	CENT
das	das
SSp-ll4	SSp-ll4
DMH	DMH
ENTmv	ENTmv
cvb	cvb
RSPagl6a	RSPagl6a
CSl	CSl
CSm	CSm
RSPagl6b	RSPagl6b
MMp	MMp
LHA	LHA
IPI	IPI
CB	CB
AONe	AONe
PHY	PHY
RPF	RPF
MD	MD
STRd	STRd
ACA6b	ACA6b
EPd	EPd
LTN	LTN
PFL	PFL
MEV	MEV
cpd	cpd
AUDd1	AUDd1
sm	sm
IAD	IAD
SPVOrdm	SPVOrdm
CENT3gr	CENT3gr
LC	LC
Pa5	Pa5
ARH	ARH
PFLgr	PFLgr
VISli6a	VISli6a
RO	RO
VISpm6b	VISpm6b
bsc	bsc
stc	stc
SCig-c	SCig-c
VISrll4	VISrll4
ORBvl	ORBvl
CA1slm	CA1slm
ACAd6b	ACAd6b
AON	AON
AUDd	AUDd
PRE	PRE
OT	OT
GU1	GU1
ILA5	ILA5
NLOT3	NLOT3
NLL	NLL
SS5	SS5
mfbsm	mfbsm
plf	plf
mlf	mlf
CENT3mo	CENT3mo
SH	SH
MMd	MMd
ProSd-sr	ProSd-sr
STRv	STRv
PARN	PARN
MM	MM
TEa1	TEa1
COApl1	COApl1
BAC	BAC
CENT3	CENT3
nst	nst
LSv	LSv
VISpor4	VISpor4
pap	pap
sctd	sctd
RN	RN
scp	scp
NTB	NTB
MY-sat	MY-sat
DP1	DP1
RSPv	RSPv
AUDpo4	AUDpo4
ECT6a	ECT6a
ICe	ICe
cstu	cstu
PERI5	PERI5
NLOT1	NLOT1
IO	IO
PAA	PAA
BLAv	BLAv
PDTg	PDTg
DMHp	DMHp
MBmot	MBmot
MPNl	MPNl
NLLh	NLLh
PRM	PRM
CA2sp	CA2sp
ORBl1	ORBl1
EPI	EPI
AUDp6b	AUDp6b
dtd	dtd
PL6b	PL6b
DGcr-sg	DGcr-sg
TU	TU
ILA6a	ILA6a
TEa6b	TEa6b
supv	supv
tspc	tspc
ENTl2	ENTl2
NDB	NDB
NIS	NIS
PIS	PIS
FRP	FRP
TTd1-4	TTd1-4
MTN	MTN
PMd	PMd
AP	AP
PBG	PBG
PIR	PIR
PBlv	PBlv
IRN	IRN
PRMmo	PRMmo
BSTd	BSTd
GU4	GU4
PVHlp	PVHlp
SSp-ll6b	SSp-ll6b
PL1	PL1
DP	DP
x	x
pmx	pmx
grv	grv
iaf	iaf
SSp6a	SSp6a
RSPv1	RSPv1
RSPd5	RSPd5
CA1sr	CA1sr
SO	SO
PC5	PC5
COPYpu	COPYpu
VII	VII
IG	IG
supa	supa
AUDv4	AUDv4
PVR	PVR
BSTse	BSTse
VISal6b	VISal6b
GR	GR
PYRgr	PYRgr
VISam6b	VISam6b
RSPd	RSPd
RT	RT
AHNd	AHNd
COPYgr	COPYgr
CP	CP
AMB	AMB
DG-mo	DG-mo
PPN	PPN
LH	LH
LD	LD
DGlb-mo	DGlb-mo
COApm1	COApm1
AONl	AONl
MMm	MMm
PVpo	PVpo
VISpl6b	VISpl6b
VISal6a	VISal6a
SPVC	SPVC
VISm5	VISm5
SSp-tr6b	SSp-tr6b
IVd	IVd
sct	sct
SSp5	SSp5
P-sen	P-sen
AIp	AIp
SSs2/3	SSs2/3
ISN	ISN
CTXsp	CTXsp
dhc	dhc
MBsta	MBsta
PBls	PBls
PPYd	PPYd
SSp-m6b	SSp-m6b
AId6a	AId6a
COApl3	COApl3
VISpl	VISpl
ENTl1	ENTl1
CEAl	CEAl
ORB2/3	ORB2/3
CA2slm	CA2slm
FRP1	FRP1
VISm1	VISm1
LSX	LSX
cVIIIn	cVIIIn
GU6a	GU6a
AUDp6a	AUDp6a
V	V
SCH	SCH
SUV	SUV
ACAv2/3	ACAv2/3
PS	PS
VISrll	VISrll
MGv	MGv
SSp-m	SSp-m
alv	alv
PVHf	PVHf
MOp6a	MOp6a
och	och
NOD	NOD
TT	TT
PH	PH
mp	mp
DMHa	DMHa
PSTN	PSTN
RPA	RPA
mfsbshy	mfsbshy
ORBv	ORBv
dcm	dcm
PFLmo	PFLmo
HY	HY
ias	ias
PN	PN
PERI6b	PERI6b
ACVII	ACVII
SCig-a	SCig-a
PTLp5	PTLp5
COPYmo	COPYmo
PST	PST
VISpl6a	VISpl6a
AUDp1	AUDp1
SFO	SFO
PGRNd	PGRNd
hf	hf
ACAd2/3	ACAd2/3
cbf	cbf
AUDd6b	AUDd6b
VISal5	VISal5
RSPv6b	RSPv6b
VISlla2/3	VISlla2/3
Vn	Vn
PAA2	PAA2
SOC	SOC
dc	dc
OT1-3	OT1-3
VISam6a	VISam6a
AON2	AON2
drt	drt
CA3slm	CA3slm
TTv1-3	TTv1-3
ENTl6a	ENTl6a
scwm	scwm
mfbc	mfbc
VENT	VENT
ctb	ctb
UVUmo	UVUmo
TEa5	TEa5
VISmmp5	VISmmp5
RSPv6a	RSPv6a
MEApd-b	MEApd-b
VISl6b	VISl6b
BST	BST
ENTl4	ENTl4
MH	MH
cuf	cuf
EV	EV
RSPv5	RSPv5
VISrll2/3	VISrll2/3
SSp-ll1	SSp-ll1
SSp4	SSp4
SSp2/3	SSp2/3
P-mot	P-mot
VISmmp2/3	VISmmp2/3
6b	6b
AT	AT
vc	vc
COAa3	COAa3
MOp2/3	MOp2/3
vVIIIn	vVIIIn
ORBvl6a	ORBvl6a
VISp	VISp
fi	fi
VISm2/3	VISm2/3
PSCH	PSCH
ri	ri
phpd	phpd
COApm3	COApm3
fp	fp
PIR1	PIR1
ENTmv2	ENTmv2
PVHp	PVHp
MA3	MA3
MOs6b	MOs6b
ProSv-m	ProSv-m
PO	PO
PRE2	PRE2
MO2/3	MO2/3
SS6b	SS6b
phpl	phpl
VISrll6a	VISrll6a
VMHdm	VMHdm
onl	onl
AUDd2/3	AUDd2/3
TR1-3	TR1-3
AIp1	AIp1
PYRmo	PYRmo
AUDp	AUDp
VISmma6b	VISmma6b
PMR	PMR
BSTmg	BSTmg
PAA1-3	PAA1-3
ENTm1	ENTm1
MEZ	MEZ
em	em
XIIn	XIIn
SSp-un6b	SSp-un6b
ILA2/3	ILA2/3
VISmma6a	VISmma6a
ECU	ECU
ICd	ICd
SUBd-sr	SUBd-sr
CH	CH
SIMpu	SIMpu
IIn	IIn
MY-mot	MY-mot
AIp6a	AIp6a
RSPagl	RSPagl
TTv	TTv
AIp6b	AIp6b
lfbs	lfbs
I5	I5
pri	pri
CUL4, 5mo	CUL4, 5mo
SPFp	SPFp
IF	IF
SS6a	SS6a
SubG	SubG
VIIIn	VIIIn
AMv	AMv
ACAv	ACAv
VISa6b	VISa6b
PYR	PYR
ACAd	ACAd
PTLp	PTLp
COA	COA
VISpl1	VISpl1
SSp-ll2/3	SSp-ll2/3
PTLp6b	PTLp6b
COApm1-3	COApm1-3
COPY	COPY
CUL	CUL
TH	TH
POR	POR
DORsm	DORsm
DG-po	DG-po
act	act
ADP	ADP
PERI1	PERI1
ENTl5/6	ENTl5/6
LS	LS
VISm6a	VISm6a
ILA1	ILA1
csc	csc
LING	LING
VISmmp4	VISmmp4
ILM	ILM
AHN	AHN
NR	NR
TRS	TRS
ProSv	ProSv
POL	POL
sV	sV
LRNm	LRNm
SSp-n6b	SSp-n6b
MOB	MOB
FL	FL
CLA	CLA
NC	NC
SSs1	SSs1
CUL5mo	CUL5mo
VISam5	VISam5
COAa2	COAa2
FLgr	FLgr
ACB	ACB
PL	PL
P	P
CBXgr	CBXgr
VISli1	VISli1
AId1	AId1
CEAc	CEAc
PoT	PoT
MOp1	MOp1
PGRN	PGRN
POST2	POST2
SUBv	SUBv
VL	VL
sptV	sptV
VISam1	VISam1
LSS	LSS
TEa4	TEa4
DCN	DCN
PRNr	PRNr
PVZ	PVZ
VMHc	VMHc
sctv	sctv
ENTl2b	ENTl2b
MPNm	MPNm
ORBm1	ORBm1
ORBl6a	ORBl6a
LIN	LIN
AHA	AHA
CUL5gr	CUL5gr
ANcr1	ANcr1
VLPO	VLPO
PVHam	PVHam
ccr	ccr
ILA	ILA
SSN	SSN
ORBm6b	ORBm6b
CBXpu	CBXpu
hc	hc
SCig-b	SCig-b
AUDpo6b	AUDpo6b
poc	poc
cstc	cstc
CUL5pu	CUL5pu
INC	INC
VISpor5	VISpor5
SG	SG
VISpor6a	VISpor6a
pms	pms
AUDpo6a	AUDpo6a
AOB	AOB
DN	DN
SSp-tr6a	SSp-tr6a
lotd	lotd
SSp-bfd2/3	SSp-bfd2/3
COApm2	COApm2
RSPv2	RSPv2
P5	P5
oct	oct
LGd-co	LGd-co
ANcr2mo	ANcr2mo
VISlla	VISlla
ACA6a	ACA6a
CUL4, 5pu	CUL4, 5pu
cm	cm
LSc	LSc
VISp6b	VISp6b
CUL4, 5gr	CUL4, 5gr
LP	LP
VISmmp1	VISmmp1
aco	aco
VISp2/3	VISp2/3
MPNc	MPNc
PF	PF
POST3	POST3
IB	IB
isl	isl
von	von
IP	IP
TTv2	TTv2
LGd	LGd
MGm	MGm
VISpm4	VISpm4
VCO	VCO
DECgr	DECgr
mtc	mtc
DORpm	DORpm
vhc	vhc
LAT	LAT
IPF	IPF
PBmv	PBmv
PIR3	PIR3
SSp-n1	SSp-n1
FN	FN
IPDL	IPDL
